year, miles, gass, x, y
1956, 3675, 2.38, 0.06759906, 0.5333333
1957, 3706, 2.4, 0.071727425, 0.5417762
1958, 3766, 2.26, 0.079717845, 0.4826761
1959, 3905, 2.31, 0.0982289, 0.5037832
1960, 3935, 2.27, 0.10222408, 0.48689753
1961, 3977, 2.25, 0.10781738, 0.4784547
1962, 4085, 2.22, 0.1222001, 0.4657904
1963, 4218, 2.12, 0.13991216, 0.42357612
1964, 4369, 2.11, 0.16002133, 0.41935468
1965, 4538, 2.143, 0.18252757, 0.43328536
1966, 4676, 2.143, 0.20090553, 0.43328536
1967, 4827, 2.143, 0.22101471, 0.43328536
1968, 5038, 2.13, 0.24911425, 0.42779762
1969, 5207, 2.07, 0.27162054, 0.40246898
1970, 5376, 2.01, 0.29412684, 0.37714046
1971, 5617, 1.93, 0.32622156, 0.343369
1972, 5973, 1.87, 0.37363127, 0.3180405
1973, 6154, 1.9, 0.39773563, 0.33070475
1974, 5943, 2.34, 0.3696361, 0.5164475
1975, 6111, 2.31, 0.39200917, 0.5037832
1976, 6389, 2.32, 0.42903134, 0.50800467
1977, 6630, 2.36, 0.46112612, 0.52489036
1978, 6883, 2.23, 0.49481896, 0.47001183
1979, 6744, 2.68, 0.4763079, 0.659976
1980, 6672, 3.3, 0.46671942, 0.9217044
1981, 6732, 3.3, 0.47470978, 0.9217044
1982, 6835, 2.92, 0.48842666, 0.7612903
1983, 6943, 2.66, 0.5028094, 0.65153325
1984, 7130, 2.48, 0.5277128, 0.57554746
1985, 7323, 2.36, 0.5534152, 0.52489036
1986, 7558, 1.76, 0.58471096, 0.27160478
1987, 7770, 1.76, 0.61294377, 0.27160478
1988, 8089, 1.68, 0.655426, 0.23783338
1989, 8397, 1.75, 0.6964433, 0.26738334
1990, 8529, 1.88, 0.7140223, 0.32226193
1991, 8535, 1.78, 0.71482134, 0.28004766
1992, 8662, 1.69, 0.7317343, 0.24205482
1993, 8855, 1.6, 0.75743675, 0.20406199
1994, 8909, 1.59, 0.76462805, 0.19984055
1995, 9150, 1.6, 0.7967229, 0.20406199
1996, 9192, 1.67, 0.8023162, 0.23361194
1997, 9416, 1.65, 0.832147, 0.22516906
1998, 9590, 1.39, 0.85531914, 0.115412
1999, 9687, 1.5, 0.8682369, 0.16184771
2000, 9717, 1.89, 0.8722321, 0.3264833
2001, 9699, 1.77, 0.869835, 0.27582622
2002, 9814, 1.64, 0.88514996, 0.22094768
2003, 9868, 1.86, 0.89234126, 0.31381905
2004, 9994, 2.14, 0.90912116, 0.43201905
2005, 10067, 2.53, 0.9188428, 0.59665465
2006, 10037, 2.79, 0.9148476, 0.7064117
2007, 10025, 2.95, 0.9132495, 0.7739545
2008, 9880, 3.31, 0.8939394, 0.92592585
2009, 9657, 2.38, 0.8642417, 0.5333333
2010, 9596, 2.61, 0.8561182, 0.63042605
