iata; name; city; state; country; latitude; longitude; x; y; priority
00M; Thigpen; Bay Springs; MS; USA; 31.953764; -89.234505; 0.67441237; 0.27384603; 2
00R; Livingston Municipal; Livingston; TX; USA; 30.685862; -95.01793; 0.57327735; 0.22229141; 2
00V; Meadow Lake; Colorado Springs; CO; USA; 38.945747; -104.56989; 0.41875076; 0.52416897; 2
01G; Perry-Warsaw; Perry; NY; USA; 42.74135; -78.05208; 0.8264747; 0.69105196; 2
01J; Hilliard Airpark; Hilliard; FL; USA; 30.688013; -81.905945; 0.80613583; 0.2535662; 2
01M; Tishomingo County; Belmont; MS; USA; 34.491665; -88.20111; 0.688145; 0.36538905; 2
02A; Gragg-Wade; Clanton; AL; USA; 32.850487; -86.61145; 0.7184354; 0.31186908; 2
02C; Capitol; Brookfield; WI; USA; 43.08751; -88.17787; 0.6737235; 0.6682203; 2
02G; Columbiana County; East Liverpool; OH; USA; 40.673313; -80.6414; 0.7947568; 0.6074594; 2
03D; Memphis Memorial; Memphis; MO; USA; 40.447258; -92.22696; 0.6149072; 0.5688261; 2
04M; Calhoun County; Pittsboro; MS; USA; 33.93011; -89.34285; 0.66962284; 0.34312403; 2
04Y; Hawley Municipal; Hawley; MN; USA; 46.88385; -96.3509; 0.55076164; 0.7932094; 2
05C; Griffith-Merrillville; Griffith; IN; USA; 41.51962; -87.40109; 0.68837047; 0.6148512; 2
05F; Gatesville - City/County; Gatesville; TX; USA; 31.421276; -97.79697; 0.5240196; 0.24849325; 2
05U; Eureka; Eureka; NV; USA; 39.604168; -116.00506; 0.24073593; 0.593136; 2
06A; Moton  Municipal; Tuskegee; AL; USA; 32.460472; -85.68004; 0.73539627; 0.3010255; 2
06C; Schaumburg; Chicago/Schaumburg; IL; USA; 41.98934; -88.10124; 0.676783; 0.6297946; 2
06D; Rolla Municipal; Rolla; ND; USA; 48.884342; -99.62088; 0.50569665; 0.8643401; 2
06M; Eupora Municipal; Eupora; MS; USA; 33.534565; -89.31257; 0.67072207; 0.32926035; 2
06N; Randall; Middletown; NY; USA; 41.431564; -74.391914; 0.8869875; 0.66536963; 2
06U; Jackpot/Hayden; Jackpot; NV; USA; 41.97602; -114.65809; 0.2713608; 0.6680547; 2
07C; Dekalb County; Auburn; IN; USA; 41.307167; -85.06433; 0.72477424; 0.6136385; 2
07F; Gladewater Municipal; Gladewater; TX; USA; 32.52884; -94.97175; 0.57368463; 0.2871415; 2
07G; Fitch H Beach; Charlotte; MI; USA; 42.57451; -84.81143; 0.725549; 0.65881944; 2
07K; Central City Municipal; Central City; NE; USA; 41.11668; -98.05034; 0.52392656; 0.59108055; 2
08A; Wetumpka Municipal; Wetumpka; AL; USA; 32.529438; -86.328224; 0.72400784; 0.30144238; 2
08D; Stanley Municipal; Stanley; ND; USA; 48.3008; -102.40635; 0.46641552; 0.8475827; 2
08K; Harvard State; Harvard; NE; USA; 40.651386; -98.07979; 0.52325594; 0.57466114; 2
08M; Carthage-Leake County; Carthage; MS; USA; 32.761246; -89.530075; 0.6680895; 0.30161572; 2
09A; Butler-Choctaw County; Butler; AL; USA; 32.119312; -88.127464; 0.6934989; 0.28217453; 2
09J; Jekyll Island; Jekyll Island; GA; USA; 31.074472; -81.42778; 0.8133343; 0.26914507; 2
09K; Sargent Municipal; Sargent; NE; USA; 41.63695; -99.34038; 0.50428236; 0.61039996; 2
09M; Charleston Municipal; Charleston; MS; USA; 33.9915; -90.07815; 0.6569845; 0.34388393; 2
09W; South Capitol Street; Washington; DC; USA; 38.868725; -77.00748; 0.85813576; 0.56212294; 2
0A3; Smithville Municipal; Smithville; TN; USA; 35.985313; -85.80932; 0.7252545; 0.42435026; 2
0A8; Bibb County; Centreville; AL; USA; 32.93679; -87.08888; 0.7100193; 0.31355566; 2
0A9; Elizabethton Municipal; Elizabethton; TN; USA; 36.37094; -82.173744; 0.7841766; 0.45071262; 2
0AK; Pilot Station; Pilot Station; AK; USA; 61.933964; -162.89293; 0.1578758; 0.14709133; 2
0B1; Col. Dyke; Bethel; ME; USA; 44.425064; -70.807846; 0.92433846; 0.78992105; 2
0B4; Hartington Municipal; Hartington; NE; USA; 42.603554; -97.25264; 0.53672373; 0.64318895; 2
0B5; Turners Falls; Montague; MA; USA; 42.591362; -72.52276; 0.90914196; 0.7164991; 2
0B7; Warren-Sugar Bush; Warren; VT; USA; 44.116726; -72.82706; 0.8969625; 0.76672244; 2
0B8; Elizabeth; Fishers Island; NY; USA; 41.25131; -72.03161; 0.9233785; 0.6738141; 2
0C0; Dacy; Chicago/Harvard; IL; USA; 42.404186; -88.63343; 0.6679741; 0.64328146; 2
0C4; Pender Municipal; Pender; NE; USA; 42.113888; -96.72893; 0.5446069; 0.62577933; 2
0D1; South Haven Municipal; South Haven; MI; USA; 42.350834; -86.25614; 0.70418763; 0.6469023; 2
0D8; Gettysburg Municipal; Gettysburg; SD; USA; 44.987305; -99.9535; 0.49774712; 0.72886515; 2
0E0; Moriarty; Moriarty; NM; USA; 34.985607; -106.00947; 0.38707936; 0.3886665; 2
0E8; Crownpoint; Crownpoint; NM; USA; 35.71766; -108.2016; 0.35228562; 0.42160308; 2
0F2; Bowie Municipal; Bowie; TX; USA; 33.601665; -97.77556; 0.525249; 0.32528812; 2
0F4; Loup City Municipal; Loup City; NE; USA; 41.290287; -98.99065; 0.5094425; 0.59786236; 2
0F7; Fountainhead Lodge Airpark; Eufaula; OK; USA; 35.38899; -95.601654; 0.56245774; 0.3879586; 2
0F8; William R Pogue Municipal; Sand Springs; OK; USA; 36.17528; -96.15181; 0.5532441; 0.41573942; 2
0F9; Tishomingo Airpark; Tishomingo; OK; USA; 34.195927; -96.67556; 0.5442438; 0.3458531; 2
0G0; North Buffalo Suburban; Lockport; NY; USA; 43.103184; -78.70335; 0.8153937; 0.7005207; 2
0G3; Tecumseh Municipal; Tecumseh; NE; USA; 40.399445; -96.171394; 0.5530784; 0.5651609; 2
0G6; Williams County; Bryan; OH; USA; 41.46736; -84.50655; 0.73294866; 0.6209688; 2
0G7; Finger Lakes Regional; Seneca Falls; NY; USA; 42.880623; -76.781624; 0.8447992; 0.70217395; 2
0H1; Trego Wakeeney; Wakeeney; KS; USA; 39.00445; -99.8929; 0.49351066; 0.51797473; 2
0I8; Cynthiana-Harrison County; Cynthiana; KY; USA; 38.36674; -84.2841; 0.7443564; 0.51288354; 2
0J0; Abbeville Municipal; Abbeville; AL; USA; 31.600168; -85.23882; 0.74507385; 0.272366; 2
0J4; Florala Municipal; Florala; AL; USA; 31.042473; -86.31156; 0.72745556; 0.24943328; 2
0J6; Headland Municipal; Headland; AL; USA; 31.364895; -85.309654; 0.74438405; 0.26390547; 2
0K7; Humboldt Municipal; Humboldt; IA; USA; 42.736084; -94.24524; 0.5823928; 0.64806366; 2
0L5; Goldfield; Goldfield; NV; USA; 37.717987; -117.23841; 0.21285665; 0.5351682; 2
0L7; Jean; Jean; NV; USA; 35.768272; -115.329636; 0.23496471; 0.45652735; 2
0L9; Echo Bay; Overton; NV; USA; 36.31109; -114.46387; 0.25134605; 0.4705444; 2
0M0; Dumas Municipal; Dumas; AR; USA; 33.88455; -91.534294; 0.6322224; 0.33781946; 2
0M1; Scott; Parsons; TN; USA; 35.63778; -88.128; 0.68739563; 0.40592456; 2
0M4; Benton County; Camden; TN; USA; 36.011227; -88.12329; 0.6868257; 0.41909468; 2
0M5; Humphreys County; Waverly; TN; USA; 36.1166; -87.73816; 0.69302607; 0.42372406; 2
0M6; Panola County; Batesville; MS; USA; 34.366776; -89.900085; 0.6595197; 0.3574317; 2
0M8; Byerley; Lake Providence; LA; USA; 32.82588; -91.18767; 0.6392731; 0.30101126; 2
0O3; Calaveras Co-Maury Rasmussen; San Andreas; CA; USA; 38.14612; -120.64817; 0.16125934; 0.5721806; 2
0O4; Corning Municipal; Corning; CA; USA; 39.943768; -122.17138; 0.14773639; 0.6443539; 2
0O5; University; Davis; CA; USA; 38.531464; -121.78649; 0.14564636; 0.59346056; 2
0Q5; Shelter Cove; Shelter Cove; CA; USA; 40.027645; -124.073364; 0.11943206; 0.6614429; 2
0Q6; Shingletown; Shingletown; CA; USA; 40.522102; -121.81777; 0.15636632; 0.66150725; 2
0R0; Columbia-Marion County; Columbia; MS; USA; 31.297009; -89.81283; 0.66517705; 0.24962264; 2
0R1; Atmore Municipal; Atmore; AL; USA; 31.016214; -87.44676; 0.7074459; 0.24525905; 2
0R3; Abbeville Chris Crusta Memorial; Abbeville; LA; USA; 29.975761; -92.08415; 0.62617564; 0.19966066; 2
0R4; Concordia Parish; Vidalia; LA; USA; 31.566833; -91.50012; 0.63510025; 0.25627398; 2
0R5; David G Joyce; Winnfield; LA; USA; 31.963663; -92.66026; 0.6143658; 0.26880854; 2
0R7; Red River; Coushatta; LA; USA; 31.990717; -93.307396; 0.6029988; 0.26915318; 2
0S7; Dorothy Scott; Oroville; WA; USA; 48.958965; -119.411964; 0.2355785; 0.9321336; 2
0S9; Jefferson County International; Port Townsend; WA; USA; 48.049812; -122.80128; 0.18517584; 0.9224621; 2
0V2; Harriet Alexander; Salida; CO; USA; 38.539165; -106.045845; 0.39433426; 0.5137599; 2
0V3; Pioneer Village; Minden; NE; USA; 40.51491; -98.94565; 0.5096356; 0.5704434; 2
0V4; Brookneal/Campbell County; Brookneal; VA; USA; 37.141724; -79.01639; 0.8329571; 0.49178302; 2
0V6; Mission Sioux; Mission; SD; USA; 43.30695; -100.6282; 0.48614722; 0.67061985; 2
0V7; Kayenta; Kayenta; AZ; USA; 36.70972; -110.2368; 0.32168707; 0.4642492; 2
10C; Galt; Chicago/Greenwood/Wonderlake; IL; USA; 42.402664; -88.37589; 0.6718913; 0.6437495; 2
